# Entry Date,Exit Date,Entry Abs,Exit Abs,Entry Z,Exit Z,Time Held,PnL %,PnL Abs,Outcome,Exit Reason
Jun 22 2018,Jun 25 2018,-4.44220,-4.46538,-3.22,-4.30,3,-0.522,-0.02318,loss,Stop Loss - Std
Jun 25 2018,Jun 25 2018,-4.33370,-4.34967,-3.25,-4.07,2,-0.369,-0.01598,loss,Stop Loss - Std
Jun 26 2018,Jun 26 2018,-4.20503,-4.21953,-3.72,-4.28,2,-0.345,-0.01450,loss,Stop Loss - Std
Jun 27 2018,Jun 29 2018,-4.04889,-4.07023,-3.84,-4.01,4,-0.527,-0.02134,loss,Stop Loss - Std
Jun 28 2018,Jul 02 2018,-3.87886,-3.90898,-3.33,-4.06,4,-0.776,-0.03012,loss,Stop Loss - Std
Jun 29 2018,Jul 23 2018,-3.73472,-3.80206,-2.95,-2.68,18,-1.803,-0.06734,loss,Stop Loss - Abs
Jul 02 2018,Aug 02 2018,-3.60690,-3.67717,-3.07,-2.23,25,-1.948,-0.07026,loss,Stop Loss - Abs
Jul 03 2018,Oct 09 2018,-3.46190,-3.53885,-3.04,-1.17,72,-2.223,-0.07695,loss,Stop Loss - Abs
Jul 04 2018,Oct 10 2018,-3.34966,-3.43148,-2.52,-1.33,72,-2.442,-0.08181,loss,Stop Loss - Abs
Sep 21 2018,Oct 24 2018,1.96895,1.94082,2.59,-0.42,25,1.429,0.02813,win,Take Profit - Abs
Dec 12 2018,Jan 23 2019,1.88388,1.93152,-2.78,0.66,32,2.529,0.04764,win,Take Profit - Std
May 14 2019,May 30 2019,-2.85319,-2.82317,-2.98,0.24,14,1.052,0.03002,win,Take Profit - Abs
Jul 17 2019,Aug 22 2019,-2.76614,-2.79808,2.52,-0.72,28,1.155,0.03194,win,Take Profit - Std
Jul 30 2019,Aug 05 2019,2.82714,2.86883,-2.86,0.22,6,1.475,0.04169,win,Take Profit - Abs
Jul 31 2019,Aug 05 2019,2.85328,2.90345,-3.12,0.30,5,1.758,0.05017,win,Take Profit - Abs
Aug 01 2019,Aug 05 2019,2.86933,2.91418,-2.61,0.33,4,1.563,0.04486,win,Take Profit - Abs
Oct 16 2019,Feb 11 2020,-2.10172,-2.10433,-2.77,0.53,96,-0.124,-0.00261,loss,Take Profit - Std
Oct 17 2019,Feb 11 2020,-2.07707,-2.07410,-2.95,0.52,95,0.143,0.00297,win,Take Profit - Std
Oct 18 2019,Feb 11 2020,-2.05556,-2.04927,-2.97,0.51,94,0.306,0.00629,win,Take Profit - Std
Oct 21 2019,Feb 11 2020,-2.03805,-2.02494,-3.14,0.50,93,0.644,0.01312,win,Take Profit - Std
Oct 22 2019,Feb 11 2020,-2.01111,-1.99985,-2.89,0.59,93,0.560,0.01126,win,Take Profit - Std
Jan 14 2020,Jan 30 2020,4.09479,4.14700,-3.31,0.26,14,1.275,0.05221,win,Take Profit - Abs
Jan 15 2020,Jan 30 2020,4.02623,4.07179,-2.68,0.29,13,1.132,0.04556,win,Take Profit - Abs
Jan 20 2020,Jan 27 2020,3.73707,3.78527,-2.52,0.25,7,1.290,0.04821,win,Take Profit - Abs
